Code,Color
AF.W,#A9A9A9
AF.Y,#696969
AS.O,#808080
AS.Y,#808080
BH.S,#40E0D0
BW.Y,#D8BFD8
BZ.A,#ADFF2F
BZ.W,#FF4500
CF.A,#66CDAA
CF.S,#6B8E23
CF.W,#228B22
CF.Y,#7CFC00
DS.W,#FFE4C4
DS.Y,#BDB76B
DU.W,#FFE4C4
DU.Y,#BDB76B
EC.A,#0000FF
EC.W,#0000FF
EH.A,#800000
EH.W,#C71585
EH.Y,#800000
EW.W,#FF8C00
FA.A,#2E8B57
FA.W,#00FF00
FA.Y,#00FF7F
FF.A,#2E8B57
FF.S,#8B0000
FF.W,#8B0000
FG.Y,#708090
FL.A,#2E8B57
FL.S,#00FF00
FL.W,#00FF00
FL.Y,#00FF7F
FR.Y,#6495ED
FW.A,#FFDEAD
FW.W,#FF1493
FZ.A,#00FFFF
FZ.W,#483D8B
GL.A,#FFC0CB
GL.W,#DDA0DD
HF.A,#9932CC
HF.W,#CD5C5C
HT.Y,#FF7F50
HU.A,#FF00FF
HU.S,#FFE4B5
HU.W,#DC143C
HW.A,#B8860B
HW.W,#DAA520
HY.Y,#00FF7F
HZ.A,#4169E1
HZ.W,#9400D3
IS.W,#8B008B
LE.A,#87CEFA
LE.W,#008B8B
LE.Y,#48D1CC
LO.Y,#A52A2A
LS.A,#66CDAA
LS.S,#6B8E23
LS.W,#228B22
LS.Y,#7CFC00
LW.Y,#D2B48C
MA.S,#FFDAB9
MA.W,#DB7093
MF.Y,#708090
MH.Y,#696969
MS.Y,#F0E68C
RB.Y,#D8BFD8
RP.S,#40E0D0
SC.Y,#D8BFD8
SE.A,#483D8B
SE.W,#D8BFD8
SI.Y,#D8BFD8
SM.Y,#F0E68C
SQ.W,#C71585
SR.A,#FFE4B5
SR.W,#9400D3
SS.A,#DB7FF7
SS.W,#C0C0C0
SU.W,#228B22
SU.Y,#BA55D3
SV.A,#DB7093
SV.W,#FFA500
SW.Y,#D8BFD8
TO.A,#FFFF00
TO.W,#FF0000
TR.A,#F08080
TR.S,#FFE4B5
TR.W,#B22222
TS.A,#FF00FF
TS.W,#FD6347
TS.Y,#D2691E
TY.A,#FF00FF
TY.W,#DC143C
UP.A,#4682B4
UP.W,#8B008B
UP.Y,#8B008B
WC.A,#5F9EA0
WC.W,#B0C4DE
WC.Y,#AFEEEE
WI.Y,#D2B48C
WS.A,#4682B4
WS.W,#FF69B4
WW.Y,#7B68EE
ZF.Y,#008080
ZR.Y,#DA70D6
